,label
0,Positive
1,Positive
2,Positive
3,Positive
4,Negative
5,Positive
6,Positive
7,Positive
8,Negative
9,Negative
10,Negative
11,Negative
12,Negative
13,Positive
14,Positive
15,Positive
16,Negative
17,Positive
18,Positive
19,Positive
20,Positive
21,Positive
22,Positive
23,Negative
24,Positive
25,Negative
26,Negative
27,Negative
28,Negative
29,Negative
30,Positive
31,Positive
32,Negative
33,Negative
34,Positive
35,Positive
36,Positive
37,Negative
38,Negative
39,Positive
40,Negative
41,Positive
42,Positive
43,Negative
44,Negative
45,Positive
46,Positive
47,Positive
48,Positive
49,Positive
50,Positive
51,Positive
52,Negative
53,Positive
54,Negative
55,Negative
56,Positive
57,Positive
58,Positive
59,Negative
60,Negative
61,Positive
62,Positive
63,Negative
64,Negative
65,Positive
66,Positive
67,Positive
68,Negative
69,Negative
70,Positive
71,Negative
72,Negative
73,Negative
74,Positive
75,Positive
76,Positive
77,Negative
78,Negative
79,Positive
80,Negative
81,Positive
82,Negative
83,Negative
84,Positive
85,Positive
86,Positive
87,Positive
88,Positive
89,Positive
90,Positive
91,Negative
92,Positive
93,Negative
94,Positive
95,Negative
96,Positive
97,Negative
98,Positive
99,Negative
100,Negative
101,Negative
102,Negative
103,Positive
104,Positive
105,Positive
106,Negative
107,Negative
108,Positive
109,Negative
110,Negative
111,Negative
112,Negative
113,Negative
114,Negative
115,Positive
116,Negative
117,Negative
118,Negative
119,Negative
120,Positive
121,Positive
122,Positive
123,Positive
124,Positive
125,Positive
126,Negative
127,Negative
128,Positive
129,Positive
130,Negative
131,Negative
132,Negative
133,Negative
134,Negative
135,Negative
136,Positive
137,Negative
138,Positive
139,Positive
140,Negative
141,Negative
142,Positive
143,Positive
144,Positive
145,Negative
146,Positive
147,Positive
148,Positive
149,Positive
150,Positive
151,Positive
152,Positive
153,Positive
154,Positive
155,Negative
156,Negative
157,Positive
158,Positive
159,Negative
160,Positive
161,Negative
162,Positive
163,Negative
164,Positive
165,Negative
166,Positive
167,Positive
168,Positive
169,Positive
170,Positive
171,Negative
172,Positive
173,Positive
174,Negative
175,Negative
176,Positive
177,Positive
178,Positive
179,Positive
180,Positive
181,Negative
182,Negative
183,Positive
184,Positive
185,Positive
186,Negative
187,Negative
188,Positive
189,Positive
190,Negative
191,Positive
192,Negative
193,Positive
194,Positive
195,Positive
196,Positive
197,Positive
198,Negative
199,Negative
200,Positive
201,Positive
202,Negative
203,Positive
204,Positive
205,Negative
206,Positive
207,Negative
208,Negative
209,Negative
210,Negative
